"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2022-04-14T12:40:27.000Z","image","हार्दिक शुभकामना ।।","","https://pbs.twimg.com/media/FQTicT2VcAQz1dv?format=jpg&name=medium","2","","1"
"2021-10-13T04:19:41.000Z","text","मेरो तर्फवाट पनि शुभकामना पूर्व प्रधानमन्त्री ज्यु  लाइ","","","","",""
"2021-09-04T15:04:50.000Z","text","हरेक को समय आउँछन् भन्छन् अब माओबादी को समय आए जस्तो छ","","","","",""
"2021-08-26T04:20:01.000Z","text","Best of luck hajur","","","1","",""
"2021-07-18T14:25:35.000Z","text","बहुत सुन्दर भनाई बुझ्नेले न बुझे पछी कसको के लाग्छ","","","1","",""
"2021-05-03T04:43:09.000Z","text","त्यो चाहिँ होइन संसद विघटन गरेर जो घृनित काम गरेँ त्यो नै अहिले सबै घटनाको उपज हो ।","","","","",""
"2021-05-03T04:39:24.000Z","text","केपी ओलीको नेतृत्वमा चुनावमा सहभागी हुनु भनेको आत्मघाती  election होइन selection हुने बाला छ । सबै दल बेलैमा बुद्धि न पुर्याए फुर्सदको समयमा  पछुताउनु बाहेक केही हुँदैन । बाख्राको गोठालो चितुवालाइ दिए पछी बाख्रा सङ्लो खोजेर पाइन्न।","","","2","","2"
"2021-05-02T16:44:02.000Z","text","अरु पनि विकल्प छ हजुर माधव नेपालको  समुहले २७ गते भन्दा पहिला नै राजिनामा दिने ।","","","1","","2"
"2021-04-30T14:14:41.000Z","text","जतिबेला प्रतिकूल अवस्था आउँछन् त्यत्ति खेर सरकार र राज्य चाहिन्छ तर प्रतिकूल र गम्भिर अवस्थामा  जब सरकार आफ्नो दावित्व बाट पन्छिन्छ वा भाग्छ त्यत्ति खेर त्यो सरकारलाई  विस्थापन गरी जनताप्रति उतर दावित्व हुने सरकारको  विकल्प खोज्नु नै सबै हितकर हुन्छ ।मुलुक नयाँ रोगबाट सङ्क्रमित छ। गरीब, असहाय,शक्तिविहीनहरूअस्पतालको पहुँचबाट बञ्चित छन।यस्तो अवस्थामा जनताका बारेमा संवेदनशील हुनु त कता हो कता एउटा सभ्य राजनीतिमा कल्पना पनि गर्न नसकिने तरीकाले सत्ता जोगाउने र फाल्ने घृणित खेलहरू जारी छन। यस्तो चरित्रहीन सत्ता चाहिँदैन बिरोध गरौं।","","","1","",""
"2021-04-08T04:33:06.000Z","text","तपाईंहरूको दोषी चस्मा फुकालेर त हेर्नु कतै तपाइँले दोष लगाएको मान्छे नै महान् त होइनन् ? तपाइँ जसलाई अहिले ठीक भनि राख्नु भाको छ त्यो मान्छे कतै देशको गद्दार त होइनन् ?","","","","1",""
"2021-04-08T04:28:15.000Z","text","कुरा सत्य तर नि मान्छेको जात लोभी पापी र नेपाली समाजमा अवसरबादी चरित्रका ब्याप्त मनोरोगले ग्रसित छौ कि?","","","1","",""
"2021-02-23T18:53:15.000Z","text","तपाइँको धेरैजसो  विश्लेषण सही गर्नु हुँदो रहेछ ,यस भुमिका तपाइँ को नि उल्लेखनीय छ सो हजुर लाइ नि बधाई","","","1","",""
"2021-02-22T01:15:11.000Z","text","जस्तो गुरु उस्तै चेला","","","","",""
"2021-01-27T05:41:42.000Z","text","हामी लाइ नि त्यही लागी राखेको छ तर समाज मा यी निर्णय भएँ दुरगामी असर  जस्तो देखिन्छ ।","","","","",""
"2021-01-24T16:22:37.000Z","text","वहा ले  कहीले कसलाई सम्मान गर्नु भाको छ र","","","1","",""
"2021-01-12T00:34:47.000Z","text","डा. साहेबले  राम्रो कुरा  गर्नु भाको छ तर केपीका  साइबर सेना ले तापाइलाई  खेदेका तर झुटो कुरा लुगदैन सत्य कुरा डकदैन","","","","",""
"2021-01-05T09:53:20.000Z","text","Haha","","","","",""
"2020-07-05T17:58:09.000Z","text","एकता ,सङ्घर्ष र रुपान्तरण अहिलेको आवस्यकता","","","4","","2"
"2019-12-30T15:53:16.000Z","text","कस्तो न्यालय कोही भन्छ की मलाई बलात्कार भाको छैन भन्दा नि जेल सजाय कोही मलाई बलात्कार गर्यो न्याय पाउँ भन्दा नि अदालतले धरौटीमा रिहा ।।","","","","","1"
"2019-12-12T15:28:02.000Z","image","हाम्रो पार्टीका श्रदय क . अध्यक्ष तथा अभिभावक जन्मदिनको हार्दिक शुभकामना !","","https://pbs.twimg.com/media/ELmLE4vUYAAcT-B?format=jpg&name=medium","1","",""
"2019-11-25T06:10:11.000Z","image","#NewProfilePic","","https://pbs.twimg.com/media/EKMoXl5UYAEd8CM?format=jpg&name=small","","",""
"2019-11-23T16:56:35.000Z","image","संयोग छोरा घरमा न देखे पछी कता गयो वरपर खोजे तर पनि न देखेपछि मैले पढेको स्कुलमा स्यानो बच्चा हरुको प्रोग्राम छरे सुने अनि हतार हतार त्यहा पुग्दा त छोरा नि बसी राखेको रैछ अन्य बालबालिका हरु झै अनि मनी एक छिन् सङ्गै बालबालिका हरुसङ्ग बसे तेहि स्कुल हो जहाँ म बाल्यकालमा पढेको याद !","","https://pbs.twimg.com/media/EKEpIbuUYAA9auh?format=jpg&name=small,https://pbs.twimg.com/media/EKEpIbdVAAAX1jN?format=jpg&name=small,https://pbs.twimg.com/media/EKEpIblUUAAYLpQ?format=jpg&name=small,https://pbs.twimg.com/media/EKEpIcBUcAApmXW?format=jpg&name=small","2","",""
"2019-11-13T12:16:21.000Z","text","Nice pictures","","","","",""
"2019-11-07T12:13:31.000Z","text","Good job","","","","",""
"2019-09-22T06:43:09.000Z","text","Rip","","","","",""
"2019-09-19T14:58:42.000Z","text","Thanks","","","1","1",""
"2019-09-19T14:55:50.000Z","text","It’s my first tweet in twitter.","","","1","","1"
