Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2024-04-17T01:26:15.000Z,image,सिमसार छैन तर बिचरण छ।सडकका यी मान्छेको हतारो र तनावपुर्ण दौडधुप भन्दा पात झरेको रुखमा बसीरहेका चराहरुको जीवन वास्तवमै स्वतन्त्र र ढुक्कको लाग्दैन त?हिजो बनेपा जनागालको दृष्य!,,https://pbs.twimg.com/media/GLVHFGIXsAAs5QE?format=jpg&name=medium,130,10,10
2024-04-16T06:21:50.000Z,text,जिल्लाको ठीक हो,,,1,,1
2024-04-16T04:21:36.000Z,text,कस्ले दाईजो दियो अब त बोल्यो कि प्रतिगामी हुनेछ भन्छ,,,15,3,3
2024-04-16T01:29:41.000Z,text,"फेरि राजनितिक कचिंगलमा मुलुक फस्ने देखिनु दुखद हो।सधैको अस्थीरता किन र केका लागि?समावेशी क्षेत्रलाई पनि प्रतिष्पर्धी बनाएर समेत  एउटै दलले बहुमत हासिल गर्न सक्ने चुनावी प्रणालीमा देशलाई लानै पर्छ।चुनावपुर्व गठबन्धन गर्ने,दुईचार सीट ल्याउने,सत्ताको च्याँखे थाप्नेको पसल बन्द गरौ।",,,592,113,89
2024-04-16T01:07:09.000Z,text,कहिलेकही बुढाबुढी घुमेको,,,1,,
2024-04-15T08:28:24.000Z,text,त्यो सुन्य चासो हो मेरो।,,,,,
2024-04-15T07:55:06.000Z,text,हो।,,,1,,
2024-04-15T01:31:58.000Z,image,सुकुटे बीच बाट शुभ विहानी-सबै मित्रजनमा।,,https://pbs.twimg.com/media/GLK1NR9aQAAww9-?format=jpg&name=medium,356,12,37
2024-04-14T03:06:59.000Z,text,नाटोमा नगएको भए केही नहुने रहेछ त।,,,2,1,2
2024-04-14T02:09:33.000Z,text,भाषा कसैको हुदैन साझा हुन्छ र सबै भाषा कसैले जान्दैन,,,3,,
2024-04-14T02:08:17.000Z,text,हामी बहादुर छौ सबैको सेनामा जान्छौ र शान्तिप्रिय छौ त्यसकारण केही हुन्न होला,,,5,,1
2024-04-14T00:49:51.000Z,text,"साम्राज्यवादले मानवताका लागि होईन,स्रोत र बजारमाथिको एकल प्रभुत्व कायम गर्न दशकौंदेखि संसारभर युद्द निर्यात गरेर मुलत अफ्रिका र एशियाली देश माथि अथाह शोषण जारी राखेकै थियो।तर यस पटक रुसलाई तह लगाउन उक्रेनमा कोरेको एककाँटी सलाईले इजरेल ईरान हुंदै अन्तमा उस्कै टाउको जलाउँछ जस्तो छ।",,,180,36,19
2024-04-12T23:43:19.000Z,text,नेपालमै भएका र विश्वभर छरिएर रहेका सबै नेपाली जन र मनहरुलाई नयाँ साल २०८१ मा सम्पुर्ण सफलता र खुसी मिलोस हार्दिक शुभकामना!!!,,,151,11,12
2024-04-01T08:06:58.000Z,text,सिन्धु एमालेको दशौ जिल्लाअधिबेशनको मतदान सकियो।नि आ का अनुसार ७२३ मतदान।सबैलाई धन्यवाद!,,,82,10,1
2024-03-31T00:42:01.000Z,text,"सिन्धु चौताराबाट कोहीलीको कुहुकुहु र चराहरुको चिरविर चिरविरको आवाजसगै शुभ विहानी सबैलाई।रातीको ॲाधीहुरी र पानी पछि पन्चायत विरुद्द सास्कृतिक अभियान चलाउदा कलाकारहरुले गाएको पुरानो गीतको सम्झना गरायो-वादल धुम्छ डाडा र पर्बत आकाश गर्जन्छ,आइहाले पनि ॲाधी र हुरी बसन्त फर्कन्छ।",,,176,19,18
2024-03-30T06:37:40.000Z,image,"धुलिखेल,पुनमिलन आफ्नै सहपाठीहरुसंगको वनभोजमा।",,https://pbs.twimg.com/media/GJ5huk_bYAAdqGd?format=jpg&name=medium,118,7,6
2024-03-23T12:18:17.000Z,text,मेरै बेच्नि छ किन्ने हो?,,,2,,1
2024-03-23T10:18:21.000Z,text,प्रकृतिमाथि बिम्बको के अर्थ ?,,,3,1,1
2024-03-23T08:20:29.000Z,text,त्यै हो र सही हो नाम आएन,,,2,,
2024-03-23T07:16:23.000Z,text,बनिसकेपछि भेटौला दुख नभै सुख हुदैन है।,,,1,,
