Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2024-04-06T12:16:05.000Z,image,"हार्दिक शुभकामना ! 

बझाङ जिल्लाको प्रदेश सभा निर्वाचन क्षेत्र १ का विकासप्रेमी तथा समृद्धि र सामाजिक न्यायका पक्षधर मतदाताको आस्था र विश्वासको प्रतिनिधित्व गर्दै अत्यधिक मतान्तरका साथ विजयी हुनुहोस्,  नेकपा (एमाले) का सूर्य ध्वजाबाहक उम्मेदवार दमन भण्डारीलाई हार्दिक शुभकामना !!",,https://pbs.twimg.com/media/GKeyUVSbIAAkvMi?format=jpg&name=medium,58,10,7
2024-04-06T11:59:44.000Z,image,"हार्दिक शुभकामना ! 

इलाम निर्वाचन क्षेत्र न. २ का विकासप्रेमी, समृद्धिका वाहक र सामाजिक न्यायका पक्षधर मतदाताको आस्था र विश्वासको प्रतिनिधित्व गर्दै अत्यधिक मतान्तरका साथ विजयी हुनुहोस्,  नेकपा (एमाले) का सूर्य ध्वजाबाहक उम्मेदवार सुहाङ नेम्वाङलाई हार्दिक शुभकामना !!",,https://pbs.twimg.com/media/GKeulYeaYAA-mEZ?format=jpg&name=medium,94,13,11
2024-03-27T14:28:47.000Z,text,यस बर्षको एसईई परीक्षामा सहभागी हुनुहुने सम्पूर्ण  विद्यार्थीहरूको उत्कृष्ट सफलता र उज्ज्वल भविष्यका लागि हार्दिक शुभकामना ।,,,45,6,3
2024-03-24T02:09:33.000Z,text,"हरेक वर्ष फाल्गुण शुक्ल पूर्णिमाको दिन पहाडी जिल्लाहरूमा र त्यसको भोलिपल्ट तराईका जिल्लाहरूमा विभिन्न रङ तथा अबिर खेल्दै उत्साह र उल्लासका साथ मनाईने  फागुपूर्णिमा / होली पर्वको सुखद् अवसरमा स्वदेश तथा विदेशमा रहनु भएका सम्पूर्ण दिदीबहिनी तथा दाजुभाइहरूमा सुख, शान्ति तथा…",,,40,2,4
2024-03-19T12:40:43.000Z,image,"आज सिंहदरबारमा आयोजित विशेष समारोहमा पाँच राजनीतिक दलको न्यूनतम् नीतिगत प्राथमिकता र साझा सङ्कल्प सार्वजनिक भयो । नयाँ सरकार सुशासन, विकास, समृद्धि र सामाजिक न्यायको पक्षमा असाधारण उपलब्धि हासिल गर्ने नयाँ सङ्कल्पका साथ अघि बढ्दै छ ।",,"https://pbs.twimg.com/media/GJCLUncaEAAXWMs?format=jpg&name=small,https://pbs.twimg.com/media/GJCLUndbwAA6WWV?format=jpg&name=small,https://pbs.twimg.com/media/GJCLUniawAASV9R?format=jpg&name=small,https://pbs.twimg.com/media/GJCLUnbbcAEermA?format=jpg&name=small",135,15,11
2024-03-19T03:18:48.000Z,image,बरिष्ठ साहित्यकार परशु प्रधानको निधनको खबरले स्तब्ध छु। उहाँको निधनले नेपाली साहित्य क्षेत्रमा अपुरणीय क्षती पुगेको छ । दिवंगत प्रधानप्रति भावपूर्ण श्रद्धाञ्जली एवं शोकाकुल परिवारजनमा गहिरो समवेदना ब्यक्त गर्दछु ।,,https://pbs.twimg.com/media/GJAKvCpbkAAs6fQ?format=jpg&name=900x900,11,,1
2024-03-19T01:58:02.000Z,text,हिजो साँझ रुकुमबाट काठमाडौँका लागि जाँदैगरेको बस बागलुङको निसीखोला जाउलेपानीमा दुर्घटना हुँदा  ज्यान गुमाउनुहुने ७ जना यात्रुहरूप्रति श्रद्धाञ्जली अर्पण गर्दछु ! घाईते हुनुभएका सबैको छिटो एवम् भरपर्दो उपचारका लागि सरकारको धानाकर्षण सहित शीघ्र स्वास्थ्यलाभको कामना गर्दछु ।,,,26,2,1
2024-03-16T15:21:00.000Z,image,आज कार्यदलको तर्फबाट सरकारमा सहभागी पाँच राजनीतिक दलको न्यनूतम् नीतिगत प्राथमिकता र साझा संकल्प शीर्ष नेतृत्व समक्ष हस्तान्तरण गरियो ।,,"https://pbs.twimg.com/media/GIzTODPbEAAdTUw?format=jpg&name=900x900,https://pbs.twimg.com/media/GIzTODMaIAAQYnP?format=jpg&name=900x900",116,11,7
2024-03-08T03:10:16.000Z,text,"आज ८ मार्च, अन्तराष्ट्रिय श्रमिक महिला दिवस ! सम्पूर्ण आमा दिदीबहिनीहरूमा हार्दिक शुभकामना ! 

त्यसैगरी महाशिवरात्रि पर्वको अवसरमा स्वदेश तथा विदेशमा रहनुभएका सम्पूर्ण नेपाली दिदीबहिनी तथा दाजुभाइमा सुख, शान्ति र समृद्धिका लागि हार्दिक शुभकामना !",,,52,5,4
2024-03-06T14:26:59.000Z,image,हार्दिक बधाई तथा सफल कार्यकालको शुभकामना !,,"https://pbs.twimg.com/media/GH_m_erbUAAg1Su?format=jpg&name=900x900,https://pbs.twimg.com/media/GH_m_eDa0AAyxLW?format=jpg&name=900x900",103,14,7
2024-03-06T04:26:49.000Z,text,लुम्बिनीबाट काठमाडौं आउँदै गरेको यात्रुबाहक बस गजुरीस्थित त्रिशुली नदीमा खस्दा ७ जना यात्रुको निधन भएको खबरले स्तब्ध भएको छु । मृतकहरूप्रति श्रद्धाञ्जली र परिवारजनमा गहिरो समवेदना ब्यक्त गर्दछु । घाइतेहरुको शीघ्र स्वास्थ्य लाभको कामना गर्दछु । सडक यातायातलाई सुरक्षित र व्यवस्थित…,,,71,9,7
2024-03-05T10:49:51.000Z,image,नेकपा (एमाले) संसदीय दलको प्रमुख सचेतकमा नियुक्त हुनुभएका माननीय महेश बर्तौला र सचेतकमा नियुक्त हुनु भएका माननीय सुनिता बराललाई हार्दिक बधाई र सफल कार्यकालको शुभकामना !,,"https://pbs.twimg.com/media/GH5rtrGaUAA6vNP?format=jpg&name=small,https://pbs.twimg.com/media/GH5rtrFaQAAgzfb?format=jpg&name=small",180,18,12
2024-03-04T12:09:49.000Z,image,हार्दिक बधाई तथा सफल कार्यकालको शुभकामना !,,https://pbs.twimg.com/media/GH00YDSbcAAxAU8?format=jpg&name=medium,372,30,62
2024-03-02T15:04:56.000Z,image,नेपाली जनताका प्रियनेताको नाममा स्थापित केपी ओली फुटबल कपको सफल आयोजनाका लागि राष्ट्रीय युवा संघ नेपाललाई हार्दिक धन्यवाद ! आजको फाइनल खेलमा विजयी हुने मछिन्द्र क्लबलाई वधाई !! फाइनल खेलमा उत्कृष्ट प्रदर्शन गर्ने एनआरटि क्लवलाई आगामी दिनमा सफलताका लागि शुभकामना !!!,,"https://pbs.twimg.com/media/GHrJSqQbQAAr43E?format=jpg&name=small,https://pbs.twimg.com/media/GHrJSqRbgAAVfaO?format=jpg&name=small,https://pbs.twimg.com/media/GHrJSqSbsAA7jLo?format=jpg&name=small,https://pbs.twimg.com/media/GHrJSqNbkAAD-He?format=jpg&name=small",78,8,9
2024-02-29T04:58:43.000Z,image,वेष्ट एसियन फुटबल महासङ्घ (वाफ) महिला च्याम्पियनसीप फुटबलको उपाधिका लागि नेपालले आज जोर्डनसँग प्रतिस्पर्धा गर्दैछ । साउदी अरबीयामा हुने आजको फाइनल खेलमा नेपाली महिला फुटबल टिमले उपाधि चुमेर नेपाल र नेपालीको शान उच्च बनाउने अपेक्षा सहित सफलताको अग्रिम शुभकामना व्यक्त गर्दछु ।…,,https://pbs.twimg.com/media/GHerZXDbwAAQpRL?format=jpg&name=medium,54,5,1
2024-02-27T05:25:00.000Z,image,bhakta raj acharya songs collection/ भक्त राज आचार्य का सुमधुर गीतहरू/su...  via ,,https://pbs.twimg.com/media/GHUePFbbQAEdvQU?format=jpg&name=small,6,,
2024-02-27T02:04:16.000Z,image,"राष्ट्रिय मगर दिवस- २०८० को उपलक्ष्यमा मगर समुदायका साथै सम्पूर्ण नेपाली दाजुभाई तथा दिदिबहिनिहरूमा हार्दिक मंगलमय शुभकामना व्यक्त गर्दछु !

फोटो : नेपाली पात्रो",,https://pbs.twimg.com/media/GHTwSZ1bcAAyFNn?format=jpg&name=small,39,4,1
2024-02-26T15:26:33.000Z,image,"नेपाली सुगम संगीतमा विशिष्ट स्थान बनाउनु भएका भजन शिरोमणी, बरिष्ठ गायक तथा संगीतकार भक्तराज आचार्यको निधनको खबरले स्तब्ध छु। आचार्यको निधनले नेपाली संगीत क्षेत्रमा अपुरणीय क्षती पुगेको छ । दिवंगत आचार्यप्रति भावपूर्ण श्रद्धाञ्जली एवं शोकाकुल परिवारजनमा गहिरो समवेदना।",,https://pbs.twimg.com/media/GHReUttaAAALxMg?format=jpg&name=small,22,4,4
2024-02-23T12:15:55.000Z,text,"आजको कान्तिपुरमा प्रकाशित अध्यक्ष केपी शर्मा ओलीज्यूको आलेख ‘जिन्दगी अर्थात् संयोगको पुञ्ज’ बाट :  

अचम्म त के भने मानिसले भूतप्रेत बनाउँछ, मसान बनाउँछ अनि आफैं डराउँछ । कुनै चराको बच्चालाई मसानले किन खाँदैन ? मसानले बँदेल वा हरिणको पाठोलाई किन खाँदैन ? मानिसबाहेकका जीवहरू…",,,142,24,29
2023-12-31T02:13:54.000Z,text,"गुरुङ समुदायको नयाँ वर्ष 'तमु ल्होसार' को सुखद् अवसरमा देश तथा विदेशमा रहनुभएका तमु दाजुभाइ तथा दिदीबहिनीहरुका साथै सम्पूर्ण नेपालीहरुमा सु-स्वास्थ्य, सुख, शान्ति र समुन्नतिको शुभेच्छासहित हार्दिक मंगलमय शुभकामना व्यक्त गर्दछु । यस् सांस्कृतिक पर्वले विविधतामा एकता, सामाजिक एवं…",,,47,2,1
