Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2023-11-14T11:52:06.000Z,image,प्रख्यात बाल साहित्यकार आदरणीय शान्तदास मानन्धरको निधनको खबरले दुःखित छु । दिवंगत मानन्धरप्रति श्रद्धाञ्जली अर्पण गर्दै शोकाकुल परिवारजनमा गहिरो समवेदना व्यक्त गर्दछु।,,https://pbs.twimg.com/media/F-5H5ncbYAAbpHz?format=jpg&name=medium,224,19,133
2023-11-14T06:11:32.000Z,image,"न्हूदँया भिंतुना !!
नेपाल सम्बत ११४४ को पहिलो दिन आज । तिहारको गोवर्धन पूजा र काठमाडौँ उपत्यकामा प्रख्यात म्ह: पूजा पनि आजै । 
सबैलाई शुभकामना !",,https://pbs.twimg.com/media/F-359FPWQAABwUD?format=jpg&name=medium,215,18,8
2023-11-12T17:39:18.000Z,video,आज लक्ष्मीपूजा !!! आजै महाकवि लक्ष्मीप्रसाद देवकोटाको ११४ औं जन्मजयन्ती । जहिले पढ्दा पनि उत्तिकै ताजा कालजयी रचनाका सर्जक महाकवि देवकोटाप्रति सम्मान र श्रद्धा !!!,,https://pbs.twimg.com/ext_tw_video_thumb/1723757196700512256/pu/img/Wlla_JIrz76MKVwb.jpg,628,29,17
2023-10-17T11:15:15.000Z,text,"जनताको सुरक्षाको पहरेदार प्रहरी, 
प्रहरीको नामले नै कर्तव्यबोध गराउँछ । 
कर्तव्य पालनाको सिलसिलामा दिवंगत हुनु भएका अमर प्रहरीहरुप्रति हार्दिक श्रद्धा व्यक्त गर्दछु । नेपाल प्रहरीले व्यवसायिक दक्षता बढाउन अझै सफलता प्राप्त गरोस्, ६८औं प्रहरी दिवस २०८०को हार्दिक शुभकामाना !",,,193,7,10
2023-10-17T09:27:32.000Z,image,"नेपालको इतिहास, संस्कृति र पुरातत्त्वका ज्ञाता इतिहासकार चित्तरञ्जन नेपालीको निधनको खबरले अत्यन्त दुःखी छु । दिवंगत नेपालीप्रति भावपूर्ण श्रद्धासुमन अर्पण गर्दै शोकाकुल परिवारजनमा गहिरो समवेदना व्यक्त गर्दछु ।",,https://pbs.twimg.com/media/F8oaTCkbsAATSuT?format=jpg&name=medium,117,7,3
2023-10-12T14:27:23.000Z,text,जीतपुर सिमरा उपमहानगरपालिकाका निवर्तमान प्रमुख एवम् हाम्रो पार्टीका मधेस प्रदेश कमिटीका सचिव डा. कृष्णप्रसाद पौडेलको निधनको खवरले अत्यन्त दु:ख लागेको छ । दिवंगत पौडेलप्रति भावपूर्ण श्रद्धाञ्जली अर्पण गर्दछु । शोकाकुल परिवारजनमा गहिरो समवेदना व्यक्त गर्दछु ।,,,168,15,25
2023-05-09T06:55:34.000Z,text,"नेपाली कम्युनिष्ट आन्दोलनका पहिलो पुस्ताका नेता, आदरणीय वसन्त गौचनको निधनको खबरले अत्यन्त दुःखित छु। दिवंगत नेता गौचनप्रति भावपूर्ण श्रद्धाञ्जली अर्पण गर्दछु। शोकाकुल परिवारजनमा गहिरो समवेदना प्रकट गर्दछु।",,,226,23,37
2023-05-05T07:53:09.000Z,text,"उभौली पर्व एबं चण्डी पूर्णिमाको अवसरमा सम्पूर्ण दिदीबहिनी तथा दाजुभाइहरुमा सुस्वास्थ्य सुख, समृद्धि तथा प्रगतिको हार्दिक शुभकामना व्यक्त गर्दछु।",,,196,14,45
2023-05-05T06:21:08.000Z,image,"मानव समाजलाई सर्वाधिक प्रभावित पार्ने महान दार्शनिक तथा दुनियाँमा वैचारिक हेरफेर ल्याउने विचारक कार्ल मार्क्सको २०६ औं जन्मजयन्तीको अवसरमा सम्मानका साथ श्रद्धा व्यक्त गर्दछु।
Sketch: The New Republic",,https://pbs.twimg.com/media/FvWBT71agAEMiMe?format=jpg&name=medium,289,23,57
2023-05-05T05:11:04.000Z,image,"बुद्ध जयन्तीको पावन अवसरमा सबैको कल्याण होस्, सबैको मंगल होस्, सबैमा शान्ति र सुख प्राप्ति होस् । हार्दिक शुभकामना !",,https://pbs.twimg.com/media/FvVxRf6aUAIIWpI?format=jpg&name=medium,354,23,59
2023-05-01T00:42:28.000Z,image,,,https://pbs.twimg.com/media/FvANcCraMAARLMp?format=jpg&name=medium,631,47,139
2023-04-21T13:42:12.000Z,image,"खेल  एक, बधाई  तीन ।
पहिलो बधाई नेपाली क्रिकेट टिमलाई ओमन बिरुद्धको खेल जितेकोमा!!!
दोस्रो बधाई सन्दिप लामिछानेलाई, ओडिइ क्रिकेटमै 100 औं विकेट लिएर विश्व कीर्तिमान राखेकोमा !!!
अनि तेस्रो कुशल मल्लको कीर्तिमानी शतकको लागि !!!",,"https://pbs.twimg.com/media/FuPgAQPXsAg4j2F?format=jpg&name=small,https://pbs.twimg.com/media/FuPgAQMXoAgREpB?format=jpg&name=small,https://pbs.twimg.com/media/FuPgAQZWIAISXmv?format=jpg&name=small",1.8K,137,89
2023-04-06T07:59:14.000Z,text,"दिवंगत मोहनप्रसाद अधिकारीप्रति हार्दिक श्रद्धाञ्जली अर्पण गर्दछु, उहाँका छोरीहरू लगायत परिवारजनमा गहिरो समवेदना व्यक्त गर्दछु। पञ्चायती निरंकुश प्रशासनले जेल सार्ने बहानामा मलाई मार्न प्रयास गरेका बेला उहाँले बचाउनु भएको त्यो क्षण म आज सम्झिरहेको छु।",,,200,7,14
2023-04-06T07:59:13.000Z,text,"अलविदा मोहनप्रसाद अधिकारीजी !
मेरो जेल जीवनमा मृत्युबाट समेत बचाएर सहयोग पुऱ्याउने मेरा मित्र मोहनप्रसाद अधिकारीको ८९ वर्षको उमेरमा आज निधन भएको खबरले म अत्यन्त दुखित छु।",,,667,35,183
2023-03-26T14:37:22.000Z,text,"मैले आफ्ना विगतका भोगाइहरु नयाँ पुस्तालाई क्रमशः सुनाउने  विचारमा नयाँ युट्युब च्यानल सुरु गरेको छु। हेर्नुस्, सुन्नुहोस् र सुझाव दिनुहोस् है?",,,745,57,178
2023-03-26T03:26:04.000Z,text,,,,470,63,55
2023-03-24T01:38:16.000Z,image,"नेपाली रेडियोको इतिहासमा बिर्सिन नसकिने आवाजको नाम,  कृष्णा ताम्राकार । उहाँलाई  केही दिनअघि सम्मान गर्ने अवसर जुरेको थियो। उहाँको निधनको खबरले अत्यन्त दुःखी छु, हार्दिक श्रद्धाञ्जली, कृष्णा ताम्राकार जी !
शोकाकुल परिवारजनमा गहिरो समवेदना !",,https://pbs.twimg.com/media/Fr8tyteaUAEIac8?format=jpg&name=900x900,1K,55,89
