Date,Post Type,Content,Like,Retweet,Reply,username,name,first_name,last_name
2024-04-17T15:53:01.000Z,video,"क्यान्टिनमा दिइराखेको खाना छाडेर कोही सडकमा फालेको सडेगलेको मैला खान तैयार भयो भने यसको अर्थ  उसले मैला नै खान चाहेको हो भने होइन, बरू यसको अर्थ हो कि क्यान्टिनमा हामी त्योभन्दा पनि खत्तम कुरा 'डेलिभर' गरिराखेका छौं। संचालकहरू यति भ्रष्ट र अहंकारी भए।",141,13.0,4.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
2024-04-17T15:29:34.000Z,image,"अबको राजनैतिक विकल्प भनेकै जनमत पार्टी हो। जनमत पार्टीसँग नै अधिकार, पहिचान र विकासको राजनैतिक दर्शन र रोडम्याप छ। यो पार्टीमा नै सत्ताको लोभलालच नगरी नि:स्वार्थ भावले सेवा गर्ने अठोठ छ। त्यसैले निश्चितताका साथ #हातेमाइक 📢 चिन्हमा नै मतदान गरेर जनमत पार्टीलाई विजयी बनाऔं।",23,3.0,2.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
2024-04-16T16:47:08.000Z,video,"३०-४० दिन मात्रै पनि जनता सिंहदरबार अगाडि गोली खान तैयार भइदिए, मन्त्रालय घेर्न तैयार भए दिए, मन्त्री र नेताका गाडी घेर्न तैयार भइदिए, घर घेर्न तैयार भइदिए, के हुन्छ ? यो व्यवस्था रहन्छ? देश त्यो अवस्थामा पुगिसकेको छ। त्यसैले विकल्प दिनै पर्छ - नौलो गणतन्त्र र सामाजिक लोकतन्त्रको",256,31.0,111.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
2024-04-12T10:56:32.000Z,image,साउदी अरबको  #रियादमा गैरआवासीय मधेशी संघको कार्यक्रम शुरू हुँदै🙏🏻,33,1.0,3.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
2024-03-22T14:24:32.000Z,image,#इलाम साहित्य महोत्सवमा चैत १७ गते डा. सी. के. राउतसँग राजनैतिक वार्तालाप,66,2.0,3.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
2024-03-21T14:34:52.000Z,video,"देशभरिका #इन्जिनियरहरू एक होऔं - देश विकासमा जुटौं।

नेपाल कहिले बन्यो भने त्यो #इन्जिनियरहरूकै हातबाट नै बन्नेछ किनकि निर्माण भनेकै इन्जिनियरिङ्गसँग सम्बन्धित शब्द हो।

हजारौं वर्षदेखि धर्म, दर्शन, कानून र राजनीतिले दिन नसकेको समाधान अन्तत: इन्जिनियरिङ्गले नै दिन्छ।",340,23.0,20.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
2024-03-19T16:46:44.000Z,image,आज त्रिभुवन विश्वविद्यालयको CNAS हलमा प्राज्ञिक विमर्श समूहले आयोजना गरेको 'लोकतन्त्र र नैतिकता'  विषयको अन्तरक्रिया कार्यक्रम,116,6.0,2.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
2024-03-18T16:55:28.000Z,video,जेफ बेजोस् नेपाली भएको भए १६ लाखले त्यसै जागिर पाउँथे होला। तर हामी कहाँ यस्तो राजनैतिक दर्शन छ कि जेफ बेजोस् नेपालमा जन्मेको भएको हँसियाले घाँटी छिनाइन्थ्यो होला। कतै नेपालको #बालविवाह #समाजवादसँग गराइएको त होइन? काँचै उमेरमा आमा बन्न बाध्य गरिँदा आमाको ज्यानै जाने खतरा हुन्छ।,344,45.0,14.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
2024-03-16T07:06:11.000Z,image,जनमत पार्टीको केन्द्रीय समितिको बैठक वीरगंजमा शुरू भएको अवस्था🙏🏻,97,7.0,3.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
2024-03-15T02:26:09.000Z,text,"अर्थमन्त्री काँ?
बजेट बाँडी खा 
खै मेरो बजेट?
सचिवले खायो
खै सचिव?
कर उठाउन गयो
खै कर?
जनताले तिर्यो 
खै जनता?
पैसो कमाउन गयो
खै पैसो?
कर्मचारीले खायो
खै कर्मचारी?
दूलो भित्र पस्यो
खै दूलो?
अख्तियारले पुर्‍यो
खै अख्तियार?
सानो माछा खोज्न गयो
खै माछा?
खोलातिर बग्यो
खै खोलो?
सुक्यो",1.5K,347.0,72.0,drckraut,Chandra Kant Raut,Chandra Kant,Raut
