"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2024-04-17T15:53:01.000Z","video","क्यान्टिनमा दिइराखेको खाना छाडेर कोही सडकमा फालेको सडेगलेको मैला खान तैयार भयो भने यसको अर्थ  उसले मैला नै खान चाहेको हो भने होइन, बरू यसको अर्थ हो कि क्यान्टिनमा हामी त्योभन्दा पनि खत्तम कुरा 'डेलिभर' गरिराखेका छौं। संचालकहरू यति भ्रष्ट र अहंकारी भए।","","","141","13","4"
"2024-04-17T15:29:34.000Z","image","अबको राजनैतिक विकल्प भनेकै जनमत पार्टी हो। जनमत पार्टीसँग नै अधिकार, पहिचान र विकासको राजनैतिक दर्शन र रोडम्याप छ। यो पार्टीमा नै सत्ताको लोभलालच नगरी नि:स्वार्थ भावले सेवा गर्ने अठोठ छ। त्यसैले निश्चितताका साथ #हातेमाइक 📢 चिन्हमा नै मतदान गरेर जनमत पार्टीलाई विजयी बनाऔं।","","https://pbs.twimg.com/media/GLYIAFiWIAERveo?format=jpg&name=small,https://pbs.twimg.com/media/GLYIAFpXgAAn-0y?format=jpg&name=small,https://pbs.twimg.com/media/GLYIAFmWQAAGVd1?format=jpg&name=small,https://pbs.twimg.com/media/GLYIAFmXwAAFbki?format=jpg&name=small","23","3","2"
"2024-04-16T16:47:08.000Z","video","३०-४० दिन मात्रै पनि जनता सिंहदरबार अगाडि गोली खान तैयार भइदिए, मन्त्रालय घेर्न तैयार भए दिए, मन्त्री र नेताका गाडी घेर्न तैयार भइदिए, घर घेर्न तैयार भइदिए, के हुन्छ ? यो व्यवस्था रहन्छ? देश त्यो अवस्थामा पुगिसकेको छ। त्यसैले विकल्प दिनै पर्छ - नौलो गणतन्त्र र सामाजिक लोकतन्त्रको","","https://pbs.twimg.com/ext_tw_video_thumb/1780275820621168640/pu/img/WqIYIxm1oeVxNYcD.jpg","256","31","111"
"2024-04-12T10:56:32.000Z","image","साउदी अरबको  #रियादमा गैरआवासीय मधेशी संघको कार्यक्रम शुरू हुँदै🙏🏻","","https://pbs.twimg.com/media/GK9ZmnYWEAA2aYC?format=jpg&name=small,https://pbs.twimg.com/media/GK9ZmnRW8AAXWmG?format=jpg&name=small,https://pbs.twimg.com/media/GK9ZmnRW0AApGMP?format=jpg&name=small,https://pbs.twimg.com/media/GK9ZmnaWIAEwuQ4?format=jpg&name=small","33","1","3"
"2024-04-11T07:10:35.000Z","image","","","https://pbs.twimg.com/media/GK3cWn7WkAAPNnL?format=jpg&name=medium","31","1","2"
"2024-04-11T07:10:25.000Z","image","","","https://pbs.twimg.com/media/GK3cT5MXMAAVrnP?format=jpg&name=medium","40","3","3"
"2024-03-22T14:24:32.000Z","image","#इलाम साहित्य महोत्सवमा चैत १७ गते डा. सी. के. राउतसँग राजनैतिक वार्तालाप","","https://pbs.twimg.com/media/GJR_bE4WQAAM2kU?format=jpg&name=medium","66","2","3"
"2024-03-22T12:49:04.000Z","image","","","https://pbs.twimg.com/media/GJRqCD3XgAAW-wi?format=jpg&name=medium","140","22","40"
"2024-03-21T14:34:52.000Z","video","देशभरिका #इन्जिनियरहरू एक होऔं - देश विकासमा जुटौं।

नेपाल कहिले बन्यो भने त्यो #इन्जिनियरहरूकै हातबाट नै बन्नेछ किनकि निर्माण भनेकै इन्जिनियरिङ्गसँग सम्बन्धित शब्द हो।

हजारौं वर्षदेखि धर्म, दर्शन, कानून र राजनीतिले दिन नसकेको समाधान अन्तत: इन्जिनियरिङ्गले नै दिन्छ।","","https://pbs.twimg.com/ext_tw_video_thumb/1770820880316141568/pu/img/4vygAYTLzTf_H8Gf.jpg","340","23","20"
"2024-03-19T16:46:44.000Z","image","आज त्रिभुवन विश्वविद्यालयको CNAS हलमा प्राज्ञिक विमर्श समूहले आयोजना गरेको 'लोकतन्त्र र नैतिकता'  विषयको अन्तरक्रिया कार्यक्रम","","https://pbs.twimg.com/media/GJDDg2BXUAAIhm0?format=jpg&name=medium","116","6","2"
"2024-03-18T16:55:28.000Z","video","जेफ बेजोस् नेपाली भएको भए १६ लाखले त्यसै जागिर पाउँथे होला। तर हामी कहाँ यस्तो राजनैतिक दर्शन छ कि जेफ बेजोस् नेपालमा जन्मेको भएको हँसियाले घाँटी छिनाइन्थ्यो होला। कतै नेपालको #बालविवाह #समाजवादसँग गराइएको त होइन? काँचै उमेरमा आमा बन्न बाध्य गरिँदा आमाको ज्यानै जाने खतरा हुन्छ।","","","344","45","14"
"2024-03-16T07:06:11.000Z","image","जनमत पार्टीको केन्द्रीय समितिको बैठक वीरगंजमा शुरू भएको अवस्था🙏🏻","","https://pbs.twimg.com/media/GIxiAcZaEAAGQTm?format=jpg&name=900x900,https://pbs.twimg.com/media/GIxiAcabgAAyp5h?format=jpg&name=900x900","97","7","3"
"2024-03-15T02:26:09.000Z","text","अर्थमन्त्री काँ?
बजेट बाँडी खा 
खै मेरो बजेट?
सचिवले खायो
खै सचिव?
कर उठाउन गयो
खै कर?
जनताले तिर्यो 
खै जनता?
पैसो कमाउन गयो
खै पैसो?
कर्मचारीले खायो
खै कर्मचारी?
दूलो भित्र पस्यो
खै दूलो?
अख्तियारले पुर्‍यो
खै अख्तियार?
सानो माछा खोज्न गयो
खै माछा?
खोलातिर बग्यो
खै खोलो?
सुक्यो","","","1.5K","347","72"
"2024-03-09T04:24:55.000Z","image","नौलो गणतन्त्रको आन्दोलन किन? - डा. सी. के. राउत, #नागरिक दैनिक, २०८० फाल्गुन २६ गते शनिबार📷","","https://pbs.twimg.com/media/GIM56F5akAAWTp3?format=jpg&name=medium","42","9","1"
"2024-03-09T04:24:23.000Z","image","गौतमबुद्धलाई पत्र - डा. सी. के. राउत (२०५७ सालको रचना)
कान्तिपुर कोसेली, २०८० फाल्गुन २६ गते शनिबार","","https://pbs.twimg.com/media/GIM5i_dbYAAPVa5?format=jpg&name=medium","29","3","2"
"2024-02-27T15:38:34.000Z","image","सप्तरीमा मन्त्री र सभासद्हरूमाथि ज्यानलिने गरी भएको घटना घटाउन मधेश प्रदेशका #मुख्यमन्त्रीले #प्रहरीका #उच्च #पदाधिकारीहरू #समेतलाई #पैसा दिएको आरोप आएको छ, त्यसको छानबिन होस्।   
साढ़े ३ अर्बको रकमान्तर भ्रष्टाचार काण्डको छानबिन होस्, बजेट कसैको निजी सम्पत्ति होइन।","","https://pbs.twimg.com/media/GHWqg7WXYAAWtaU?format=png&name=medium","56","12","2"
"2024-02-27T11:01:02.000Z","video","मधेश प्रदेश सभा घेराऊ किन?

१. मुख्यमन्त्रीको अगुवाईमा शिक्षा मन्त्री महेश प्रसाद यादवसहित सभासद्हरूमाथि ज्यान मार्ने गरी नै राजबिराजमा भएको घटनाको छानबिन गर्ने समिति बनाउन र कारबाही गर्न

२. साढे ३ अर्बको रकामान्तर घोटाला काण्डको विषयमा प्रतिवेदन आएर कारबाही गराउन","","https://pbs.twimg.com/ext_tw_video_thumb/1762432606941904896/pu/img/jty2xZUnnZ_bWWTZ.jpg","51","7","2"
"2024-02-27T04:24:56.000Z","text","","","","19","5","2"
"2024-02-26T12:26:44.000Z","image","मधेश प्रदेशको राजनीति ! #मुख्यमन्त्रीले प्रदेश नीति आयोगका सदस्य डा. सोहन प्रसाद साहलाई #बर्खास्त गरेको छ। मधेश त्यसै असाक्षर र अविकसित भएको हो? हाम्रो शिक्षा मन्त्री हुँदा  प्रदेश  साक्षरता कार्यक्रमको डिजाइन गरेका, हुलाकी सडकमा रोजगारी सिर्जना छलफल चलाएर लोकप्रिय भइरहेका थिए।","","https://pbs.twimg.com/media/GHQ0rY1WkAA1iiy?format=jpg&name=900x900,https://pbs.twimg.com/media/GHQ0rY6W8AAuVXM?format=jpg&name=900x900","40","8","1"
"2024-02-25T11:48:03.000Z","image","मीटरब्याजी र लघुवित्त पिडितहरूसँग हरेक मोर्चामा हामी साथ छौं","","https://pbs.twimg.com/media/GHLiuZab0AET2Fp?format=jpg&name=900x900","109","13","5"
"2024-02-24T10:05:10.000Z","image","संत शिरोमणि श्रीरविदास जयन्तीको अवसरमा हार्दिक मंगलमय शुभकामना 🙏🏻 #EndUntouchability #SocialJusticeToDalits","","https://pbs.twimg.com/media/GHGBlb4XoAAyWLq?format=jpg&name=medium","27","2",""
"2024-02-22T11:53:16.000Z","video","सत्ता-संचालकहरू #सेतोबाघ बाट त्रसित छ। #जंगबहादुरको हबिगत हामीले देखेकै हौं, छोरा जर्नल र नाती जर्नलको जे हाल भएको थियो, सुध्रेनौं भने त्यही हालत नहोला, भन्न सकिन्न।","","https://pbs.twimg.com/ext_tw_video_thumb/1760633223120289792/pu/img/bBQ-MtUhcsboWwa4.jpg","180","20","5"
"2024-02-22T10:12:23.000Z","text","बिहीबार प्रतिनिधिसभाको बैठकमा बोल्दै डा. सी. के. राउत कोतपर्व, भण्डारखाल पर्वजस्ता हिंसात्मक घटनाबाट प्रधानमन्त्री बनेका जंगबहादुर राणा आफैं सेतो बाघसँग डराएको भन्दै प्रमुख राजनीतिक दलहरु पनि आफैंले ल्याएको शासन व्यवस्थासँग डराएको टिप्पणी गरेका हुन् ।","","","33","3",""
"2024-02-21T15:30:57.000Z","image","“#आप्रवासी #जनमत #संघ” विभिन्न #वर्ग/#व्यवसाय, क्लष्टर (संविधानले तोकेअनुसार #आदिवासी #जनजाति, #खसआर्य, #थारू, #दलित, #पिछडावर्ग, #मधेशी, #मुस्लिम, #अल्पसंख्यक साथै अन्य)   र क्षेत्र (#जिल्ला/#पालिका/#प्रदेश अनुसार) गठन गर्न हुन सम्बन्धित सबैलाई सूचित गरिन्छ।","","https://pbs.twimg.com/media/GG3vXajXMAALUlv?format=jpg&name=medium","25","2",""
"2024-02-06T11:34:34.000Z","image","२०८१ ज्येष्ठ १५ गते ‘गणतन्त्र दिवस’का दिन काठमाडौंको भृकुटी मण्डपमा हुने भव्य-सभामा सहभागी होऔं 

भ्रष्टाचार मेटाऔं, दलतन्त्रको तानाशाही हटाऔं, जनताको अधिकार जनताकै हातमा दिऔं

प्रत्यक्ष निर्वाचित प्रधानमन्त्रीसहित “नौलो गणतन्त्र र सामाजिक लोकतन्त्र” ल्याउन आन्दोलन सफल पारौं","","https://pbs.twimg.com/media/GFppIW9WEAAfFkM?format=jpg&name=medium","26","3","1"
