tweet_id,username,name,first_name,last_name,full_text,view_count,bookmark_count,favorite_count,reply_count,retweet_count,quote_count,bookmarked,favorited,retweeted,user_mentions,url_mentions,is_quote_status,lang,location,bio,website,websites,followers_count,following_count,media_count,statuses_count,favourites_count,listed_count,fast_followers_count,normal_followers_count,followed_by,following,can_dm,can_media_tag,profile_banner_url,profile_url,avatar_url,verified,is_blue_verified,user_created_at,created_at
1.77838E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,"विगत डेढ दशक देखिको हाम्रो आन्दोलन, अभियान र डा गोबिन्द केसीको सत्याग्रह मिथ्या थिएन। समग्र स्वास्थ्य क्षेत्र र चिकित्सा शिक्षा सुदृढिकरणको लागि हाम्रो संघर्ष थियो,छ, रहनेछ। यो वर्षौँ देखि लुकाईएको प्रतिवेदन सार्वजनिक हुँदै गर्दा अब धेरै कुरा पर्दाफाश हुँदैछ... स्वर्गीय डा.…",27499,7,305,24,43,5,FALSE,FALSE,FALSE,,,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","4/11/2024, 5:14:13 PM"
1.77568E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,शुल्क निर्धारण अत्यावश्यक छ । #HealthforAll #FixHealthServiceRate https://t.co/aPhU1fnSKc,26361,6,730,50,79,20,FALSE,FALSE,FALSE,,,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","4/4/2024, 6:19:14 AM"
1.77296E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,"मैले बुझेको सुशासनमा अनुगमन, नियमन, नियन्त्रण, कार्यनयन र निरन्तर्ता हुनुपर्छ।नख्खु कोरिडरको काम २ प्याकेजमा गर्ने भनिएको थियो पहिलो प्याकेज २०७७मा सकिनुपर्ने हाल सम्म काम अलमलिएको छ। यसपटक पनि बजेट छुट्याईएको तर काम केहि नभएकोले प्रतक्ष स्थलगत भ्रमण गरी वस्तुस्थिती बुझेका… https://t.co/EZJbPeJxzW",12531,2,228,15,19,4,FALSE,FALSE,FALSE,,,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","3/27/2024, 5:43:04 PM"
1.77039E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,हामी यस्तो देशमा छौँ जहाँ सहभागिता र समावेशीता लेख्नको लागी मात्र लेखिन्छन् ।तस्वीर : प्रतिनीधी सभा नियमवाली संसदिय समिती सम्बन्धि व्यवस्था https://t.co/QOmtdB9wlT,5909,0,153,5,22,1,FALSE,FALSE,FALSE,,,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","3/20/2024, 4:04:56 PM"
1.77035E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,"संसदमा बोल्नुपर्ने कुरा के हो ? सहकारी र सुनमात्र हो ? एकअर्कामाथि छेडखानी मात्र? काठमाण्डौमा नै बीर, पाटन, कान्ति, टिचिङ लगायत अस्पतालमा आइसियु पाइएन भन्दै आम नागरीकहरुको रोदन छ।बिरामीहरूले ज्यान गुमाउनु परेको छ। परिवारमा पर्ने दुख भनिनसक्नु छ तर केहि अस्पतालका आईसीयु खाली बसेका… https://t.co/077Q8AR3VW",44086,5,527,49,79,12,FALSE,FALSE,FALSE,,,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","3/20/2024, 1:13:37 PM"
1.76973E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,"सडकहरु वर्षौँ सम्म ठेक्का नलाग्ने, लागे पनि काम नहुने, बजेट फ्रिज हुने जस्तो अकर्मण्यताको शिकार भई नागरिकहरुले शास्ती पाउनुपर्ने अवस्था रोकिनुपर्छ। केहि अलपत्र सडकहरुमा सरकारको विशेष ध्यानकार्षण गराएको छु। संसदमा आज। https://t.co/VsizCB1YlH",7214,2,249,17,22,0,FALSE,FALSE,FALSE,,,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","3/18/2024, 7:54:59 PM"
1.76847E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,"ढुङ्गा खानी तथा क्रसर उधोग नियमन गर्न जरुरीछ।साथै प्राकृतिक स्रोतको पुनर्सथापनामा पनि ध्यान दिन आवश्यक छ । 
संसदमा १/१२/२०८० https://t.co/bbC6kWWrTV",6833,1,230,5,10,2,FALSE,FALSE,FALSE,,,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","3/15/2024, 8:24:02 AM"
1.76795E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,"हामीले सदनमा प्रधानमन्त्रीलाई प्रतक्ष रुपमा के प्रश्न सोध्नुपर्ला यदि तपाई भए के सोध्नुहुन्थ्यो ? भोलि बिहिबार बेलुका ५ बजेसम्म यो गुगल फारममा सुझाब लेखि पठाईदिनुहोला

https://t.co/AgONGvZlwC",35023,2,283,97,22,16,FALSE,FALSE,FALSE,,https://docs.google.com/forms/d/e/1FAIpQLSdbfW8evynbUntd6pPoOpQyuzTCriXPiXrxQe-qXCF5fqUBjg/viewform?usp=pp_url,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","3/13/2024, 10:05:02 PM"
1.7676E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,"हिजो मिटर ब्याजी पिडितसँग आज स्वर्गीय आरती शाहको परिवारसँग माग सम्बोधन, अनुसन्धान, कारवाही र न्यायको लागि सहमति भएकोमा गृहमन्त्रीज्युलाई धन्यवाद। केहि दिन अघि मिटर ब्याजी पिडित र आरति शाह परिवारलाई भृकुटीमण्डपमा भेट्दा उनिहरुको रोदन, पिडा र घाउ असह्य थियो। मलम पट्टी सहित चाँडै… https://t.co/AfddHRm16U",26323,2,471,29,37,6,FALSE,FALSE,FALSE,,,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","3/12/2024, 11:05:23 PM"
1.76175E+18,ToshimaKarkiDr,Dr.Toshima Karki,Dr.Toshima,Karki,"बीर अस्पतालमा ICU मा बेडहरु र भेन्टिलेटरहरु भएतापनि प्रयोग नगरिएको र बिरामीलाई मर्का परेको, बेड छैन भनि बिरामी फर्काउने गरिएको गुनासो अत्याधिक आएपछि हामी, म तोसिमा कार्की र माननीय हरी ढकाल वस्तुस्थिती बुझ्न गयौँ।

मेडिकल ICU ८ बेडमा ६ मात्र प्रयोगमा।
सर्जिकल ICU १८ बेडमा ८ मात्र… https://t.co/2s8ilz4dvx",49751,3,450,29,60,15,FALSE,FALSE,FALSE,,,FALSE,ne,Nepal,A doctor /General Surgeon/ Ex Executive member Nepal Medical Council/ Ex State Minister for Health / Member of Parliament of Nepal/Elected Lalitpur3 /,,,43120,374,95,271,145,14,0,43120,,,TRUE,FALSE,https://pbs.twimg.com/profile_banners/2736270625/1664790966,https://www.twitter.com/ToshimaKarkiDr,https://pbs.twimg.com/profile_images/1638218684140519426/UOk5wbJb_normal.jpg,FALSE,TRUE,"8/16/2014, 8:11:09 AM","2/25/2024, 7:16:38 PM"
